query,openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,is_oa,source,source_type,authors,institutions,countries,topics,concepts,abstract
artificial intelligence cultural heritage,https://openalex.org/W4412592133,https://doi.org/10.1186/s40561-025-00404-2,Artificial intelligence application for museum to experiential transformation of cultural heritage and learning,2025,2025-07-23,article,6,True,Smart Learning Environments,journal,İslam Suiçmez; Fahriye Altınay; Gökmen Dağlı; Haijun Zeng; Rustam Shadiev; Didem İşlek; İpek Danju; Zehra Altınay,Beijing Normal University; Near East University; University of Kyrenia; Zhejiang University,CN; CY,Artificial Intelligence Applications; AI in Service Interactions; Augmented Reality Applications,Experiential learning; Transformation (genetics); Cultural heritage; Computer science; Cultural intelligence; Artificial intelligence; Psychology; Mathematics education; Geography; Archaeology,"Abstract This study aims to explore the contributions of artificial intelligence (AI) applications in museums to the accessibility, interaction, and experiential transformation of cultural heritage. AI accelerates digital transformation in museums, enhancing visitor experiences by making them more interactive and personalized, while also aiding in the preservation and dissemination of cultural heritage. Designed as a qualitative research project, the study will employ descriptive content analysis. Participants will consist of a total of 110 university students from Kazakhstan, Korea, China, Turkey, the Turkish Republic of Northern Cyprus, and India. Data will be collected through semi-structured interview forms and analyzed using QDA Miner Lite software. This research broadly examines the integration of artificial intelligence into museums. It aims to investigate how AI-supported museum applications contribute to access to cultural heritage from the past to present, enhance museum experiences for civilizations and individuals from various cultural backgrounds, and make them more engaging and interactive. Additionally, it explores the effects of the digitization of cultural identity and heritage on individuals and the innovations AI brings to museum education and information processes. The primary objective of this research is to raise awareness about AI-supported museum applications and to emphasize the significance of the connection between technology and cultural heritage. Additionally, it aims to demonstrate the impact of artificial intelligence on the preservation and transmission of cultural heritage to future generations. In line with this expectation, it is anticipated that future studies will further integrate AI-supported applications into museums, thereby facilitating and enhancing the preservation and transmission of cultural heritage. The findings of this research provide evidence supporting this expectation. In light of these aspects, the study seeks to present projections and recommendations for the future of AI-supported museology."
artificial intelligence cultural heritage,https://openalex.org/W4281566185,https://doi.org/10.1155/2022/8576002,The Database Construction of Intangible Cultural Heritage Based on Artificial Intelligence,2022,2022-05-25,article,8,True,Mathematical Problems in Engineering,journal,Haixing Zhao,China Three Gorges University,CN,Conservation Techniques and Studies; 3D Surveying and Cultural Heritage; Cultural Heritage Management and Preservation,Cultural heritage; Metadata; Intangible cultural heritage; Database; Computer science; Function (biology); Test (biology); Business logic; Information retrieval; World Wide Web,"At present, the protection of material cultural heritage is spread all over the world, but the protection of intangible cultural heritage is relatively backward. With the development of information technology, database technology provides a new retrieval method. Therefore, based on database technology, this paper constructs the database system of intangible cultural heritage, where MySQL is used as the system database, Struts 2 framework is selected in MVC to realize the separation of business logic and data display, and retrieval and query are realized through Lucene. In addition, the system takes Mongolian stringed instruments as the carrier, constructs the metadata framework, and forms the database structure. Moreover, the system is divided into six functional modules and the front and back functions of the system are managed. Finally, the system function test and performance test are carried out. The test results show that the system has good functionality, which is helpful to realize the effective protection of intangible cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4391038656,https://doi.org/10.2478/amns.2023.2.01554,Research on Development and Protection of Cultural Heritage Tourism Resources in the Age of Artificial Intelligence,2023,2023-12-20,article,5,True,Applied Mathematics and Nonlinear Sciences,journal,Li Cheng,Xian Central Hospital,CN,Diverse Aspects of Tourism Research; Sport and Mega-Event Impacts; Cultural Industries and Urban Development,Tourism; Cultural heritage; Geography; Spatial analysis; Cultural heritage management; Regional science; Value (mathematics); Heritage tourism; Distribution (mathematics); Industrial heritage,"Abstract This paper constructs the basic framework of the spatial pattern analysis method of historical, cultural heritage with the relevant technology of artificial intelligence and analyzes the spatial pattern of historical cultural heritage through spatial correlation analysis. ArcGIS and FineBI software are used to carry out correlation analysis on the degree of spatial aggregation, spatial distribution density, and related point and line distribution of cultural heritage tourism resources so as to derive the spatial distribution characteristics of cultural heritage tourism resources. Shanzhou Region, Sanmenxia City, Henan Province, is taken as the research object to empirically analyze the development and protection of its cultural heritage tourism resources. The results show that the values of global autocorrelation Moran’s I of spatial mismatch of cultural heritage tourism resources are all positive, and the mean value of Z(I) is 6.07956, P(I)&lt;0.05, indicating that the spatial mismatch index of cultural heritage tourism resources at the city level has a significant spatial clustering tendency and an obvious clustering tendency. This study offers scientific suggestions for the development of cultural heritage resources in tourism, and it is also crucial for the development of Chinese cultural heritage sites."
artificial intelligence cultural heritage,https://openalex.org/W4205318135,https://doi.org/10.1109/icid54526.2021.00047,Research on Intangible Cultural Heritage Amusement Space Design from the Perspective of Artificial Intelligence,2021,2021-10-01,article,5,False,2021 2nd International Conference on Intelligent Design (ICID),conference,Xiaoli Yu; W. Shan; Hao Ding; Ben Li,Jingdezhen Ceramic Institute,CN,Cultural Heritage Management and Preservation,Intangible cultural heritage; Amusement; Cultural heritage management; Cultural heritage; Industrial heritage; Space (punctuation); Aesthetics; Sociology; Environmental ethics; Geography,"In order to better protect and inherit intangible cultural heritage, show the charm of intangible cultural heritage, promote the integration between intangible cultural heritage and life to maximize the value of intangible cultural heritage. This thesis applies artificial intelligence design to the design of intangible cultural heritage amusement space, uses scientific and technological means to fully display some intangible cultural heritage projects which can set up different degrees of interaction and increase the participation of different age groups. The combination of artificial intelligence, intangible cultural heritage and amusement space can form a new type of space. In the process of experiencing the amusement space, different groups of people can get more understanding of intangible cultural heritage, especially the awareness on the protection and inheritance of intangible cultural heritage for children and adolescents. It is essential to enlarge the vivosphere of intangible cultural heritage and enhance the sustained vitality of intangible cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4319977939,https://doi.org/10.1109/cipae55637.2022.00027,Research on the Digital Protection Technology of Intangible Cultural Heritage Information under Computer Artificial Intelligence,2022,2022-08-01,article,6,False,"2022 International Conference on Computers, Information Processing and Advanced Education (CIPAE)",conference,Ruiming Hu,Anhui Business College,CN,3D Surveying and Cultural Heritage,Intangible cultural heritage; Connotation; Cultural heritage; Computer science; Process (computing); Knowledge management; Philosophy; Archaeology; Operating system; History,"The protection of intangible cultural heritage has a single form and poor interaction. In response to this problem, this paper proposes designing and implementing a digital online display system for intangible cultural heritage based on mobile augmented reality technology. The digital protection of intangible cultural heritage cultural information designed in this paper applies the main functional modules of the cloud and mobile terminals. The system uses a rapid modeling method based on 3D scanning and meshes iterative simplification. In order to introduce this method in detail, this paper discusses the functions and paths of intangible cultural heritage information protection from the aspects of function distribution, data structure, module construction, technical support, and implementation subjects. This paper finds that the knowledge modeling of intangible cultural heritage resources based on computer artificial intelligence technology eases the designer's knowledge reasoning process, and this information digital protection system improves the accuracy of product cultural connotation expression."
artificial intelligence cultural heritage,https://openalex.org/W4409431488,https://doi.org/10.1038/s41598-025-96587-2,Applied research on innovation and development of blue calico of Chinese intangible cultural heritage based on artificial intelligence,2025,2025-04-14,article,9,True,Scientific Reports,journal,Jialiang He; Tao Hong,Dalian Minzu University,CN,3D Surveying and Cultural Heritage; Conservation Techniques and Studies; Cultural Heritage Materials Analysis,Intangible cultural heritage; Cultural heritage; Data science; Computer science; Geography; Archaeology,"In light of the challenges currently facing the inheritance of blue calico, including the reduction in the number of inheritors and the contraction of the market, this paper puts forth a stylistic transfer method based on an enhanced cycle consistency generative adversarial network. This approach is designed to facilitate the creation of novel designs for traditional blue calico patterns. To address the shortcomings of existing style transfer models, including the generation of blurry details, poor texture and color effects, and excessive model parameters, we propose the incorporation of the Ghost convolution module and the SRM attention module into the generator network structure. This approach aims to reduce the model parameter quantity and computational cost while enhancing the feature extraction ability of the network. The experimental results demonstrate that the method proposed in this paper not only effectively enhances the content details, texture, and color effects of the generated images, but also successfully combines traditional blue calico with modern daily necessities, thereby enhancing its appeal to young people. This research provides novel insights into the digital protection and innovative development of traditional culture, and illustrates the extensive potential applications of deep learning technology in the field of cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4225637093,https://doi.org/10.1109/fones-aiot54873.2021.00042,Cultural and Creative Tourism Product Design Strategies to Enhance the Brand Value of Intangible Cultural Heritage under Artificial Intelligence Technology: Focused on Grass Cloth Embroidery Example,2021,2021-12-01,article,7,False,,,Gaosheng Luo; Ling Lin; Aibin Li,Xinyu University,CN,Digital Media and Visual Art,Tourism; Connotation; Brand equity; Product (mathematics); Brand awareness; Marketing; Brand management; Intangible cultural heritage; Product design; Value (mathematics),"Taking grass cloth embroidery as an example, explore the direction and strategy of cultural and creative tourism product design to enhance the brand value of intangible cultural heritage under artificial intelligence technology. This paper studies the concept of brand value and cultural and creative tourism product design, and elaborates the research model of cultural and creative tourism product design to enhance brand value. Analyzed the current situation of cultural and creative tourism product design of two grass cloth embroidery brands, and puts forward four strategies to enhance the brand value of grass cloth embroidery under artificial intelligence technology, including unified design to enhance brand awareness, improving emotional design elements to improve brand perceived quality, mining cultural connotation to increase brand loyalty and creating cultural mood to strengthen brand association."
artificial intelligence cultural heritage,https://openalex.org/W4389481251,https://doi.org/10.2478/amns.2023.2.01396,Research on the Design of Cultural and Creative Products Based on Lingnan Intangible Cultural Heritage in the Age of Artificial Intelligence,2023,2023-12-06,article,3,True,Applied Mathematics and Nonlinear Sciences,journal,Qin Qin,Guangdong Polytechnic of Science and Technology,CN,Digital Media and Visual Art; Cultural Heritage Management and Preservation; Color perception and design,Intangible cultural heritage; Cultural heritage; Product (mathematics); Symbol (formal); Computer science; Construct (python library); Space (punctuation); Product design; Artificial intelligence; Aesthetics,"Abstract Lingnan Intangible Cultural Heritage (ICH) has a long history and contains rich and unique regional culture, which can provide new thoughts and ideas for cultural and creative product design. In this paper, firstly, the cVAE-GAN network model is utilized to extract the features of the modeling symbols of Lingnan intangible cultural heritage, which helps to obtain the modeling symbols of Lingnan intangible cultural heritage for cultural and creative product design. Secondly, the HSV color space model realizes the refinement of the color elements of Lingnan intangible cultural heritage, which promotes the application of color diversity in the design of Lingnan cultural and creative products. Then, the two methods are combined with artificial intelligence technology to construct the Lingnan emotional interactive cultural and creative product design framework, which enables the computer to integrate the designer’s design emotion on the basis of learning modeling and color and promotes the enhancement of the emotional value of Lingnan non-heritage cultural and creative products. Finally, to verify the effectiveness of the method described in this paper, a relevant test analysis was conducted. The results show that when the computational order is more than 60 orders, the cVAE-GAN network in this paper extracts the styling symbol features in only about 115ms, the PSNR improvement of the HSV color space model under different color blocks is more than 2dB, and the RSD of H-channel can be found to be in the range of 0.5% to 5.0% after performing color noise removal. Carrying out the cultural and creative product design of Lingnan intangible cultural heritage in the era of artificial intelligence needs to be more clear about the shape and color of the intangible heritage and fully combine with the designer’s emotion in order to make the Lingnan intangible cultural and creative products revitalized with new vitality."
artificial intelligence cultural heritage,https://openalex.org/W4296156491,https://doi.org/10.1155/2022/8159045,Three-Dimensional Reconstruction of National Traditional Sports Cultural Heritage Based on Feature Clustering and Artificial Intelligence,2022,2022-09-08,article,4,True,Computational Intelligence and Neuroscience,journal,Xuefeng Wang; Zhewei Liu,Jiangsu University of Science and Technology,CN,"Sport and Mega-Event Impacts; Video Analysis and Summarization; Sports, Gender, and Society",Cultural heritage; Harmony (color); Context (archaeology); Big data; Sociology; Aesthetics; Computer science; Political science; Law; History,"The development of three-dimensional reconstruction technology with cultural heritage in traditional sports allows an accurate portrayal of this aspect of life. Cultural heritage can be documented, recovered, and shown with the tools and techniques. It is an important aspect of self-determination and the ability of marginalized groups to engage in social and cultural life fully. The most challenging aspects of national cultural sports heritage in reconstruction, including armed conflict and war, improper disposal, pollution, poaching, natural disasters, and destruction of heritage sites, have been determined. This article introduces (SCH-AI) new technology for sports cultural heritage (SCH), which develops an improved artificial intelligence (AI) that helps reduce armed conflict and war and promotes tolerance toward religions and people. Athletics improves by bringing individuals together in a social and economic context. Sports engagement boosts community health and productivity. When a clustering algorithm is used, it analyses the data that were provided identifying organic clusters or patterns in the space of features. Clustering is the process of dividing data into distinct subsets. The scenario depicts a strength and conditioning coach who wishes to establish alternative training in sports regimens for players with varying refinement sprint timing. The research of SCH-AI has many advantages; accessing traditional games is regarded as the ideal platform for promoting peace, harmony, and cultural heritage preservation. Sports are also part of the steps to recognize and preserve the rights of people, and it is the protection of their cultural legacy. Cultural heritage gives users a sense of belonging and harmony within a community and a greater understanding of earlier generations and their history."
artificial intelligence cultural heritage,https://openalex.org/W4407820877,https://doi.org/10.54254/2753-7064/2025.21035,Empowering Intangible Cultural Heritage with Artificial Intelligence: The Healing Experience of Traditional Ceramic Art,2025,2025-02-21,article,3,True,Communications in Humanities Research,journal,Ting Tian,Beijing Jiaotong University,CN,3D Surveying and Cultural Heritage; Cultural Heritage Management and Preservation,Intangible cultural heritage; Cultural intelligence; Cultural heritage; Ceramic; Business; Psychology; Materials science; History; Social psychology; Archaeology,"This paper explores the application of artificial intelligence (AI) technology in the protection and inheritance of intangible cultural heritage, particularly in the realm of traditional ceramic art therapy. The article first reviews the history, importance and modern applications of art therapy, then analyzes the role of AI technology in enhancing therapeutic value and empowering intangible cultural heritage. Next, it discusses the application of virtual reality (VR) technology in the research of ceramic art therapy. It details a research programme which includes research objectives, process, and the setup of control groups, using the old age group as the target population. Finally, the paper presents future research directions and innovative prospects for AI technology in the field of intangible cultural heritage. Through refining existing systems and closely monitoring ethical issues and social impacts, it can be ensured that AI technology can truly empower intangible cultural heritage, revitalizing these ancient cultural legacies in modern society."
